state_name,state_code,lat,long
Acre,AC,-9.11,-70.52
Alagoas,AL,-9.57,-36.55
Amapá,AP,1,-52
Amazonas,AM,-5,-63
Bahia,BA,-12.52,-41.69
Ceará,CE,-5.08,-39.65
DistritoFederal,DF,-15.795,-47.757778
EspíritoSanto,ES,-20.318889,-40.337778
Goiás,GO,-15.933333,-50.133333
Maranhão,MA,-6.183333,-45.616667
MatoGrosso,MT,-15.566667,-56.066667
MatoGrossodoSul,MS,-20.442778,-54.645833
MinasGerais,MG,-19.816667,-43.95
Pará,PA,-5.666667,-52.733333
Paraíba,PB,-7.166667,-36.833333
Paraná,PR,-24,-51
Pernambuco,PE,-8.34,-37.81
Piauí,PI,-8.233333,-43.1
RiodeJaneiro,RJ,-22.9,-43.2
RioGrandedoNorte,RN,-5.74,-36.55
RioGrandedoSul,RS,-30,-53
Rondônia,RO,-10.9,-62.76
Roraima,RR,2.05,-61.4
SantaCatarina,SC,-27.25,-50.333333
SãoPaulo,SP,-23.533333,-46.633333
Sergipe,SE,-10.59,-37.38
name:Tocantins,TO,-10.183333,-48.333333
